	tk	hk	is
icho	0.631578947368421	0.0	0.0
kaede	0.0	0.0	0.0
sonota	0.5333333333333333	0.0	0.4799999999999999
koyo	0.6341463414634146	0.3389830508474576	0.4799999999999999
