2	17	16442
2	18	16104
2	19	16144
2	20	16186
2	21	16521
2	22	18177
2	23	16397
2	24	16502
2	25	16035
2	26	15954
2	27	17151
2	28	19137
3	1	19494
3	2	17298
3	3	18043
3	4	17488
3	5	18387
3	6	18154
3	7	17387
3	8	18360
3	9	16880
3	10	17315
3	11	17375
3	12	17491
3	13	20238
3	14	20347
3	15	20147
3	16	19435
3	17	18953
3	18	19417
3	19	17069
3	20	17321
3	21	18837
3	22	18811
3	23	17725
3	24	17426
3	25	17673
3	26	17510
3	27	18781
3	28	18609
3	29	18670
3	30	18211
3	31	18664
4	1	20081
4	2	18035
4	3	18281
4	4	17625
4	5	18722
4	6	16306
4	7	16389
4	8	16813
4	9	15884
4	10	15462
4	11	16734
4	12	19340
4	13	15184
4	14	15602
4	15	8499
4	16	13099
4	17	9514
4	18	17717
4	19	18644
4	20	15929
4	21	15566
4	22	15175
4	23	15138
4	24	15658
4	25	17705
4	26	19193
4	27	17256
4	28	5339
4	29	4822
4	30	4082
5	1	4017
5	2	5000
5	3	5309
5	4	5177
5	5	5169
5	6	5083
5	7	3565
5	8	3408
5	9	4146
5	10	4318
5	11	3429
5	12	421
5	13	3420
5	14	3453
5	15	3523
5	16	4221
5	17	4852
5	18	3819
5	19	3061
5	20	3054
5	21	3158
5	22	3321
5	23	3879
5	24	3855
5	25	2945
5	26	2699
5	27	2843
5	28	3092
5	29	3612
5	30	4141
5	31	4311
6	1	3532
6	2	3081
6	3	3298
6	4	3293
6	5	3374
6	6	4262
6	7	4279
6	8	3081
6	9	2772
6	10	2990
6	11	3032
6	12	3427
6	13	3977
6	14	4041
6	15	2925
6	16	2772
6	17	2621
6	18	2971
6	19	2949
6	20	3591
6	21	3719
6	22	2837
6	23	2839
6	24	2659
6	25	2701
6	26	3095
6	27	3645
6	28	3459
6	29	2925
6	30	2519
7	1	2864
7	2	2829
7	3	2956
7	4	3576
7	5	3467
7	6	2778
7	7	2799
7	8	2792
7	9	2556
7	10	2880
7	11	3745
7	12	4035
7	13	2825
7	14	3009
7	15	2710
7	16	2696
7	17	3214
7	18	3657
7	19	4089
7	20	3872
7	21	2854
7	22	2603
7	23	2765
7	24	2850
7	25	3505
7	26	3651
7	27	2948
7	28	2772
7	29	2768
7	30	2749
7	31	3244
8	1	4221
8	2	4118
8	3	3003
8	4	2859
8	5	3220
8	6	3106
8	7	3183
8	8	3930
8	9	4050
8	10	3920
8	11	3808
8	12	4030
8	13	4353
8	14	4554
8	15	4284
8	16	3758
8	17	3024
8	18	3108
8	19	2849
8	20	3082
8	21	3006
8	22	3549
8	23	3553
8	24	2870
8	25	2890
8	26	2805
8	27	2802
8	28	2908
8	29	3640
8	30	3614
8	31	2982
9	1	3043
9	2	2781
9	3	2982
9	4	2808
9	5	3625
9	6	3770
9	7	2850
9	8	2977
9	9	2767
9	10	2754
9	11	2678
9	12	3577
9	13	3896
9	14	3108
9	15	2852
9	16	2884
9	17	2794
9	18	2776
9	19	3517
9	20	4397
9	21	4639
9	22	4584
9	23	3916
9	24	3033
9	25	3043
9	26	3563
9	27	3257
9	28	2506
9	29	2428
9	30	2515
10	1	2467
10	2	2458
10	3	3031
10	4	2930
10	5	2173
10	6	2255
10	7	2328
10	8	2108
10	9	2381
10	10	3358
10	11	3463
10	12	3058
10	13	2144
10	14	2253
10	15	2226
10	16	2348
10	17	2756
10	18	3117
10	19	2234
10	20	2034
10	21	2129
10	22	2201
10	23	2443
10	24	3126
10	25	2808
10	26	2179
10	27	2140
10	28	2178
10	29	2346
10	30	2457
10	31	2985
11	1	3305
11	2	2435
11	3	2767
11	4	2307
11	5	2339
11	6	2523
11	7	3636
11	8	3085
11	9	2228
11	10	2155
11	11	2322
11	12	2242
11	13	2453
11	14	2864
11	15	3113
11	16	2698
11	17	2187
11	18	2218
11	19	2346
11	20	2612
11	21	3183
11	22	3382
11	23	3242
11	24	2514
11	25	2324
11	26	2227
11	27	2403
11	28	3043
11	29	2841
11	30	2267
12	1	2367
12	2	2344
12	3	2142
12	4	2539
12	5	2918
12	6	2820
12	7	2438
12	8	2177
12	9	2340
12	10	2352
12	11	2659
12	12	3245
12	13	3253
12	14	2372
12	15	2345
12	16	2290
12	17	2381
12	18	2769
12	19	3502
12	20	3198
12	21	2668
12	22	2563
12	23	3163
12	24	2711
12	25	2907
12	26	3199
12	27	3307
12	28	3112
12	29	3147
12	30	3299
12	31	3547
