	tk	hk	is
icho	0.5333333333333333	0.4864864864864865	0.0
kaede	0.25	0.05	0.0
sonota	0.47058823529411764	0.03333333333333333	0.5789473684210527
koyo	0.52	0.06779661016949153	0.5789473684210527
