2015-08-15	12
2015-08-16	12
2015-08-17	5
2015-08-18	7
2015-08-19	5
2015-08-20	6
2015-08-21	4
2015-08-22	11
2015-08-23	13
2015-08-24	12
2015-08-25	10
2015-08-26	9
2015-08-27	10
2015-08-28	13
2015-08-29	11
2015-08-30	10
2015-08-31	11
2015-09-01	10
2015-09-02	9
2015-09-03	5
2015-09-04	5
2015-09-05	13
2015-09-06	11
2015-09-07	4
2015-09-08	7
2015-09-09	13
2015-09-10	17
2015-09-11	12
2015-09-12	9
2015-09-13	19
2015-09-14	10
2015-09-15	11
2015-09-16	14
2015-09-17	6
2015-09-18	7
2015-09-19	10
2015-09-20	16
2015-09-21	31
2015-09-22	26
2015-09-23	16
2015-09-24	7
2015-09-25	7
2015-09-26	7
2015-09-27	10
2015-09-28	8
2015-09-29	11
2015-09-30	8
2015-10-01	9
2015-10-02	9
2015-10-03	15
2015-10-04	10
2015-10-05	9
2015-10-06	7
2015-10-07	13
2015-10-08	6
2015-10-09	11
2015-10-10	32
2015-10-11	19
2015-10-12	16
2015-10-13	7
2015-10-14	8
2015-10-15	10
2015-10-16	15
2015-10-17	11
2015-10-18	15
2015-10-19	7
2015-10-20	12
2015-10-21	11
2015-10-22	4
2015-10-23	17
2015-10-24	11
2015-10-25	10
2015-10-26	7
2015-10-27	5
2015-10-28	10
2015-10-29	8
2015-10-30	12
2015-10-31	6
2015-11-01	19
2015-11-02	6
2015-11-03	8
2015-11-04	8
2015-11-05	5
2015-11-06	8
2015-11-07	15
2015-11-08	17
2015-11-09	4
2015-11-10	5
2015-11-11	7
2015-11-12	11
2015-11-13	6
2015-11-14	16
2015-11-15	18
2015-11-16	12
2015-11-17	8
2015-11-18	5
2015-11-19	4
2015-11-20	6
2015-11-21	8
2015-11-22	17
2015-11-23	13
2015-11-24	6
2015-11-25	3
2015-11-26	9
2015-11-27	8
2015-11-28	9
2015-11-29	12
2015-11-30	2
2015-12-01	6
2015-12-02	5
2015-12-03	7
2015-12-04	8
2015-12-05	6
2015-12-06	8
2015-12-07	11
2015-12-08	9
2015-12-09	4
2015-12-10	4
2015-12-11	5
2015-12-12	10
2015-12-13	7
2015-12-14	5
2015-12-15	4
2015-12-16	5
2015-12-17	5
2015-12-18	3
2015-12-19	7
2015-12-20	15
2015-12-21	10
2015-12-22	4
2015-12-23	2
2015-12-24	7
2015-12-25	7
2015-12-26	6
2015-12-27	12
2015-12-28	12
2015-12-29	11
2015-12-30	4
2015-12-31	11
