こなつ, 12.336108014256492
会いに行こう, 12.336108014256492
東京人, 12.336108014256492
さゆみ, 12.336108014256492
ひねくれる, 11.921070514977648
定食屋, 11.751145513535336
わや, 11.336108014256492
まだしも, 11.336108014256492
ジャンボ, 11.336108014256492
チキンカツ, 11.336108014256492
2年間, 11.336108014256492
いじり, 10.751145513535336
つじ, 10.751145513535336
面倒臭い, 10.751145513535336
せき, 10.751145513535336
あゆみ, 10.751145513535336
せり, 10.01417991936913
忍者, 10.01417991936913
ただただ, 9.751145513535336
太, 9.528753092198889
Xmas, 9.46163889634035
モード, 9.336108014256492
吹っ飛ぶ, 9.336108014256492
圧倒的, 9.16618301281418
母さん, 9.16618301281418
ゃ, 9.01417991936913
昼ご飯, 9.01417991936913
バナナ, 8.876676395619194
ますます, 8.876676395619194
参る, 8.876676395619194
勝利, 8.751145513535336
こないだ, 8.751145513535336
3時, 8.751145513535336
おもし, 8.673143001534063
フォンチー, 8.6356682961154
下降カープ, 8.16618301281418
カメラ, 7.943790591477732
まゆ, 7.876676395619195
かん, 7.711617149348698
リアル, 7.692251824481767
世の中, 7.673143001534063
ゼロテレビ, 7.528753092198888
定食, 7.47812701912892
頼む, 7.47812701912892
量, 7.429217418647974
想像, 7.381911703869617
プレゼント, 6.781519162578855
毎日, 6.528753092198888
びっくり, 6.453464964894651
回, 6.107289323760611
撮る, 6.088180500812907
ケーキ, 6.06932147356159
以上, 6.050705795394244
野々市市, 6.023225058972137
２, 6.01417991936913
体, 5.8931645184077635
ぢ, 5.8657880794764585
過ぎる, 5.812546058199479
見える, 5.812546058199479
ゆ, 5.711617149348698
本日, 5.677896531504698
ーーー, 5.649607487073274
なに, 5.486442287340924
強い, 5.370323729594405
30, 5.291713894898039
ちゃんと, 5.291713894898039
忘れる, 5.259292417205661
もー, 5.227583557478323
話, 5.18636089475181
大好き, 4.901479786619768
昨日, 4.286259464805931
く, 4.224102988743361
みんな, 4.10248833749679
爆笑, 3.9610685829095673
おる, 3.95672964718523
とる, 3.8725836409853116
何, 3.7250832169491397
楽しい, 3.714056194800116
ちゃん, 3.6172897668005453
寝る, 3.5063852791704333
ハート, 3.4657432946730875
来る, 3.199116902176262
言う, 3.176236677478103
くれる, 3.153713660851963
時, 3.1438151997857253
こと, 3.1315368700072885
ある, 3.0449373149346317
w, 2.6287488821756093
AT, 2.6253015805571405
ない, 2.3955497058825785
in, 2.310968451977984
Im, 2.3054408780095508
石川県, 2.297874879524713
れる, 2.2315092606921234
なる, 2.1487559410559958
いる, 2.0175652045537684
くる, 1.9807569178316795
金沢, 1.9610685829095673
の, 1.7445856676857572
ー, 1.6110258353301425
ん, 1.2917138948980387
笑, 0.9147444364527144
する, -0.08042564594309126
